Season,TeamID1,TeamID2,result,win_pct_A_1,win_pct_N_1,win_pct_H_1,win_pct_All_1,win_pct_A_2,win_pct_N_2,win_pct_H_2,win_pct_All_2,Score_A_1,relScore_A_1,Score_N_1,relScore_N_1,Score_H_1,relScore_H_1,Score_All_1,relScore_All_1,Score_A_2,relScore_A_2,Score_N_2,relScore_N_2,Score_H_2,relScore_H_2,Score_All_2,relScore_All_2,FGM_1,FGA_1,FGM3_1,FGA3_1,FTM_1,FTA_1,OR_1,DR_1,Ast_1,TO_1,Stl_1,Blk_1,PF_1,goal_rate_1,3p_goal_rate_1,ft_goal_rate_1,FGM_2,FGA_2,FGM3_2,FGA3_2,FTM_2,FTA_2,OR_2,DR_2,Ast_2,TO_2,Stl_2,Blk_2,PF_2,goal_rate_2,3p_goal_rate_2,ft_goal_rate_2,OrdinalRank_127_128_1,maxRank_127_128_1,RankMax_1,RankMin_1,RankStd_1,RankMean_1,RankTrans_50_51_to_127_128_1,RankTrans_15_16_to_127_128_1,OrdinalRank_127_128_2,maxRank_127_128_2,RankMax_2,RankMin_2,RankStd_2,RankMean_2,RankTrans_50_51_to_127_128_2,RankTrans_15_16_to_127_128_2,OrdinalRank_127_128_diff,year_x,rank_x,pyth_x,adjusto_x,adjusto_rank_x,adjustd_x,adjustd_rank_x,adjustt_x,adjustt_rank_x,luck_x,luck_rank_x,sos_pyth_x,sos_pyth_rank_x,sos_oppo_x,sos_oppo_rank_x,sos_oppd_x,sos_oppd_rank_x,ncsos_pyth_x,ncsos_pyth_rank_x,teamid_x_x,year_y,rank_y,pyth_y,adjusto_y,adjusto_rank_y,adjustd_y,adjustd_rank_y,adjustt_y,adjustt_rank_y,luck_y,luck_rank_y,sos_pyth_y,sos_pyth_rank_y,sos_oppo_y,sos_oppo_rank_y,sos_oppd_y,sos_oppd_rank_y,ncsos_pyth_y,ncsos_pyth_rank_y,teamid_x_y
2003,1421,1411,1,0.125,1.0,0.8333333333333334,0.4482758620689655,0.3333333333333333,0.75,0.7857142857142857,0.6,64.75,-15.75,81.0,1.0,79.0,3.4166666666666665,71.20689655172414,-7.241379310344827,67.0,-4.583333333333333,83.0,4.5,74.85714285714286,6.857142857142858,72.8,1.9666666666666663,24.37931034482759,56.793103448275865,6.482758620689656,18.0,15.965517241379311,20.931034482758623,12.275862068965518,23.17241379310345,13.034482758620689,16.206896551724142,7.068965517241379,3.0,19.103448275862068,0.4327684296107408,0.3634940599052002,0.7661421288555388,24.73333333333333,55.26666666666666,5.933333333333334,18.5,17.4,28.066666666666666,13.166666666666664,24.8,14.2,15.233333333333333,6.433333333333334,2.2333333333333334,18.3,0.44889159956588187,0.3214140481401413,0.6137454482784717,0.8501529051987767,327.0,296.0,214.0,25.95103165494668,267.92857142857144,0.08868501529051986,-1.0,0.9174311926605504,327.0,324.0,284.0,12.78219916073191,307.0,-0.07339449541284404,-1.0,-0.06727828746177378,2003,283,-12.35,101.2,187,113.5,319,68.0,118,0.119,5,-6.45,272,98.3,272,104.7,262,11.61,11,1421.0,2003,260,-10.45,98.3,238,108.7,281,68.4,104,0.037000000000000005,75,-12.96,321,94.4,322,107.4,314,-8.09,308,1411.0
2003,1112,1436,1,0.9166666666666666,0.0,0.9333333333333332,0.8928571428571429,0.5,0.6,0.9,0.6551724137931034,82.41666666666667,12.0,89.0,-7.0,87.2,18.8,85.21428571428571,14.964285714285715,63.14285714285714,-1.7142857142857142,71.2,6.8,72.6,12.5,67.79310344827586,4.655172413793104,30.32142857142857,65.71428571428571,7.0357142857142865,20.071428571428573,17.535714285714285,25.0,15.178571428571427,27.642857142857146,17.642857142857142,14.785714285714285,8.464285714285714,4.214285714285714,17.75,0.4635626062259006,0.35106036156227977,0.7011537803069258,24.82758620689655,55.862068965517246,5.275862068965517,15.482758620689655,12.862068965517242,19.55172413793104,12.965517241379311,25.724137931034484,14.20689655172414,14.06896551724138,6.862068965517241,2.9655172413793105,15.89655172413793,0.4463720449363737,0.3579196496333208,0.6497077949051302,0.009174311926605505,327.0,4.0,1.0,0.8254203058555569,2.7142857142857144,0.0,-1.0,0.5749235474006116,327.0,208.0,176.0,9.740873440539893,195.5,-0.06116207951070341,-1.0,-0.5657492354740061,2003,4,26.8,115.6,10,88.8,8,72.7,11,-0.006999999999999999,181,8.69,31,107.2,14,98.5,52,8.19,26,1112.0,2003,150,1.57,101.1,191,99.5,114,64.4,271,0.019,119,-5.14,251,99.3,249,104.4,245,-2.29,213,1436.0
2003,1113,1272,1,0.4,0.5,0.8,0.6206896551724138,0.6363636363636364,1.0,0.875,0.7931034482758621,72.2,-0.7,75.0,0.75,78.73333333333333,13.4,75.9655172413793,6.793103448275862,74.0,2.090909090909091,66.0,6.5,75.9375,13.5,74.51724137931033,8.689655172413794,27.20689655172414,56.89655172413793,4.0,12.586206896551724,17.551724137931036,26.20689655172414,13.689655172413795,23.310344827586214,15.551724137931034,14.0,5.206896551724138,4.2413793103448265,19.41379310344828,0.4816798952814811,0.3283762214796698,0.6756674740742806,26.27586206896552,60.0,7.0,20.068965517241377,14.965517241379311,22.896551724137932,14.06896551724138,25.96551724137931,16.620689655172413,13.79310344827586,7.379310344827586,5.068965517241379,18.758620689655174,0.4394574096532217,0.34344094356002186,0.6282988989026953,0.0764525993883792,327.0,65.0,13.0,17.031322146736994,33.714285714285715,-0.08256880733944955,-1.0,0.07033639143730888,327.0,60.0,18.0,11.603570878951757,39.214285714285715,-0.0489296636085627,-1.0,0.006116207951070332,2003,30,16.49,113.9,18,97.4,78,66.9,169,-0.014,201,8.74,30,106.4,41,97.7,26,5.43,50,1113.0,2003,29,16.72,110.9,35,94.1,33,68.3,109,0.005,151,4.83,84,103.4,133,98.6,54,3.33,81,1272.0
2003,1141,1166,1,0.6428571428571429,1.0,0.9166666666666666,0.7931034482758621,0.6363636363636364,1.0,1.0,0.8787878787878788,75.78571428571429,0.14285714285714285,86.0,16.333333333333332,81.83333333333333,10.5,79.34482758620689,6.103448275862068,71.54545454545455,6.909090909090909,77.2,15.6,84.82352941176471,19.88235294117647,79.24242424242425,14.909090909090908,26.62068965517241,52.68965517241379,6.827586206896553,17.931034482758623,19.27586206896552,25.17241379310345,10.586206896551724,23.27586206896552,15.620689655172415,18.241379310344826,7.103448275862068,4.0,20.96551724137931,0.5063490902598006,0.37748146802266025,0.7627405842370413,28.696969696969692,57.45454545454545,7.96969696969697,20.484848484848484,13.87878787878788,20.03030303030303,10.87878787878788,23.181818181818183,16.818181818181817,13.363636363636365,8.393939393939394,4.454545454545454,17.272727272727273,0.4983085727495132,0.3849137975403493,0.6897069286378965,0.20489296636085627,327.0,170.0,67.0,32.34056412482762,125.28571428571428,-0.2629969418960245,-1.0,0.10397553516819573,327.0,34.0,8.0,9.341212006920824,19.214285714285715,0.07339449541284404,-1.0,0.10091743119266056,2003,70,10.01,109.5,51,99.4,113,71.7,20,0.13699999999999998,3,2.06,122,104.3,102,102.3,152,2.86,89,1141.0,2003,26,17.54,112.4,24,94.9,40,68.4,103,0.026,99,-0.19,155,102.5,159,102.7,168,-0.51,164,1166.0
2003,1143,1301,1,0.6363636363636364,0.25,0.9285714285714286,0.7241379310344828,0.3,0.5,0.8125,0.6,76.0909090909091,2.727272727272727,67.75,-3.0,75.14285714285714,8.5,74.48275862068967,4.724137931034483,62.3,-8.4,73.75,-1.5,78.375,13.875,72.4,4.4,27.344827586206893,58.72413793103448,6.413793103448277,17.03448275862069,13.379310344827585,19.51724137931034,11.241379310344827,24.37931034482759,16.0,14.172413793103447,6.551724137931035,2.7931034482758617,17.103448275862068,0.468740911387539,0.3759344264148363,0.6886317367958213,24.33333333333333,53.33333333333334,7.966666666666668,22.5,15.766666666666667,20.466666666666665,9.733333333333333,22.03333333333333,14.666666666666664,14.2,7.7666666666666675,3.066666666666667,18.666666666666668,0.4585071113040031,0.3505637982101566,0.7781475873041654,0.11314984709480122,327.0,61.0,30.0,10.276667266672113,44.92857142857143,-0.07339449541284404,-1.0,0.1162079510703364,327.0,49.0,14.0,10.425033270034136,30.714285714285715,0.06116207951070336,-1.0,-0.003058103975535173,2003,47,13.59,109.9,45,96.3,63,65.9,208,0.061,42,7.06,57,106.7,31,99.6,79,0.3,147,1143.0,2003,50,13.18,111.2,30,98.1,88,65.0,257,-0.023,223,8.48,34,106.9,22,98.4,49,-6.48,292,1301.0
2003,1163,1140,1,0.4545454545454545,0.6666666666666666,0.875,0.7,0.5454545454545454,0.6666666666666666,0.9285714285714286,0.7419354838709677,75.18181818181819,2.272727272727273,73.0,2.6666666666666665,84.6875,14.125,80.03333333333333,8.633333333333333,69.54545454545455,1.181818181818182,71.0,4.833333333333333,75.35714285714286,16.428571428571427,72.45161290322581,8.774193548387098,29.53333333333333,62.2,6.066666666666666,15.7,14.9,22.1,14.766666666666667,27.9,15.633333333333333,15.8,5.933333333333334,7.7333333333333325,18.4,0.47488704692575395,0.38692733762998943,0.6698859424330409,24.032258064516128,51.25806451612904,6.193548387096773,16.129032258064516,18.193548387096776,24.161290322580644,10.870967741935484,24.41935483870968,13.419354838709678,13.741935483870966,6.935483870967742,2.5161290322580645,21.41935483870968,0.47115154652391605,0.3809370940487989,0.753252918378501,0.0672782874617737,327.0,30.0,10.0,6.501479121648455,19.5,0.030581039755351674,-1.0,0.10703363914373087,327.0,55.0,33.0,6.253350750149523,43.78571428571429,-0.05810397553516821,-1.0,-0.039755351681957186,2003,22,19.54,111.6,26,92.0,17,71.2,29,0.005,152,8.75,29,107.3,10,98.6,57,-3.48,237,1163.0,2003,24,17.68,109.4,52,91.7,16,65.5,234,-0.031,247,5.49,74,107.3,11,101.8,130,5.2,52,1140.0
2003,1181,1161,1,0.3333333333333333,1.0,1.0,0.8,0.25,1.0,0.75,0.5666666666666667,76.33333333333333,1.0,84.66666666666667,14.333333333333336,84.26666666666667,16.8,81.96666666666667,11.566666666666665,66.08333333333333,-10.583333333333334,80.0,4.5,79.1875,9.875,74.0,1.3333333333333333,27.36666666666667,60.33333333333334,7.333333333333332,20.6,19.9,28.066666666666666,13.766666666666667,23.1,13.833333333333336,14.033333333333333,8.5,5.133333333333334,21.266666666666666,0.4595602761155692,0.36559476179314415,0.6954807067059505,26.4,52.1,4.2,11.566666666666665,17.0,24.266666666666666,10.8,23.466666666666665,15.5,16.133333333333333,5.333333333333333,4.233333333333333,20.566666666666666,0.5078932197899461,0.3604653679653679,0.6975173525509456,0.03058103975535168,327.0,10.0,1.0,2.7416206003901262,3.8571428571428568,0.027522935779816512,-1.0,0.3425076452599388,327.0,128.0,74.0,15.477917626926894,102.78571428571428,0.11620795107033638,-1.0,-0.3119266055045871,2003,6,23.75,115.0,13,91.3,15,70.7,40,-0.03,246,8.85,28,107.1,17,98.3,43,0.64,138,1181.0,2003,104,5.96,110.6,37,104.6,205,67.1,162,0.031,88,4.39,89,104.6,86,100.2,92,-3.45,235,1161.0
2003,1211,1153,1,0.8181818181818182,0.42857142857142855,0.8461538461538461,0.7419354838709677,0.3,0.6666666666666666,0.8,0.6071428571428571,74.72727272727273,6.909090909090909,73.42857142857143,2.571428571428572,81.0,13.923076923076925,77.06451612903227,8.870967741935484,62.4,-3.4,68.0,11.666666666666664,70.46666666666667,10.8,67.32142857142857,5.821428571428571,26.064516129032263,55.451612903225815,7.161290322580645,19.06451612903226,17.774193548387093,24.64516129032258,11.93548387096774,25.322580645161292,15.741935483870966,14.548387096774194,6.806451612903227,3.5161290322580645,18.645161290322577,0.4707508138972464,0.36994890806980746,0.7179183620729219,22.892857142857146,56.67857142857143,6.678571428571429,19.5,14.857142857142858,21.535714285714285,12.142857142857142,23.392857142857146,12.285714285714285,10.607142857142858,5.178571428571429,4.25,18.964285714285715,0.4057677155368548,0.35248207725372505,0.6856177045558365,0.15902140672782875,327.0,52.0,34.0,5.891416740376732,43.35714285714285,0.05504587155963303,-1.0,0.0948012232415902,327.0,36.0,18.0,4.8810015185590565,24.142857142857146,0.015290519877675837,-1.0,0.06422018348623854,2003,33,15.58,113.2,21,97.7,82,66.9,170,-0.021,220,3.92,93,104.0,115,100.1,87,5.83,42,1211.0,2003,36,14.69,105.0,116,90.3,13,66.4,188,-0.066,297,7.32,51,106.6,33,99.3,68,3.65,68,1153.0
2003,1228,1443,1,0.3333333333333333,1.0,1.0,0.8,0.4166666666666667,0.75,1.0,0.7419354838709677,68.77777777777777,-1.1111111111111112,75.57142857142857,12.857142857142858,79.64285714285714,24.357142857142854,75.43333333333334,14.033333333333333,71.75,-4.666666666666667,71.5,11.5,74.6,14.466666666666667,73.09677419354837,6.67741935483871,27.1,55.8,7.433333333333334,20.166666666666668,13.8,19.1,9.733333333333333,25.4,18.266666666666666,13.166666666666664,7.0,3.1,19.133333333333333,0.484964417287028,0.3723069181148523,0.7199976420023859,25.70967741935484,55.903225806451616,7.709677419354839,21.032258064516128,13.967741935483868,21.096774193548384,12.161290322580646,23.258064516129032,14.193548387096774,15.161290322580646,7.064516129032258,3.548387096774193,18.451612903225808,0.4646212181998571,0.3685073254615197,0.6608989698997838,0.01834862385321101,327.0,20.0,6.0,4.304355065218544,13.714285714285715,-0.021406727828746176,-1.0,0.1743119266055046,327.0,84.0,57.0,8.519209064045974,69.5,-0.02140672782874617,-1.0,-0.1559633027522936,2003,5,24.47,113.2,22,88.7,7,67.8,127,-0.029,242,7.29,52,105.8,60,98.5,53,-4.18,257,1228.0,2003,56,11.75,108.0,65,96.3,61,67.2,156,0.035,78,1.09,138,103.1,143,102.0,137,2.09,107,1443.0
2003,1242,1429,1,0.7777777777777778,0.42857142857142855,0.9285714285714286,0.7666666666666667,0.5,1.0,0.8461538461538461,0.7333333333333333,76.33333333333333,12.555555555555555,77.0,7.142857142857142,86.7142857142857,20.428571428571427,81.33333333333333,14.966666666666667,60.91666666666666,1.25,68.6,6.2,69.61538461538461,10.0,65.96666666666667,5.866666666666666,30.23333333333333,62.3,4.8,14.133333333333333,16.066666666666666,24.13333333333333,14.3,26.9,16.733333333333334,14.9,10.133333333333333,4.9,16.7,0.4873331904671726,0.34064319537145626,0.6616312643479461,23.7,51.93333333333333,4.033333333333333,12.133333333333333,14.533333333333333,20.233333333333334,12.633333333333333,22.36666666666667,13.9,12.233333333333333,5.066666666666666,2.0,16.1,0.4562855130463342,0.32340439903520396,0.7073486545876281,0.006116207951070336,327.0,3.0,1.0,0.7559289460184545,1.5714285714285714,0.0,-1.0,0.40672782874617736,327.0,137.0,98.0,10.98575501214246,119.92857142857143,0.045871559633027525,-1.0,-0.40061162079510704,2003,2,28.62,115.0,12,86.4,3,72.2,14,-0.017,208,11.84,2,108.6,2,96.8,9,6.07,35,1242.0,2003,88,7.41,107.1,85,99.7,117,61.0,315,0.003,159,-2.0,193,101.1,198,103.1,188,-0.07,155,1429.0
